L0,L1,L2,L3,L4,L5,value
2101,2149,31079,0,,,9694.86607109827
2101,2149,31080,0,,,21764.5162288103
2101,2149,31081,0,,,25210.8083211807
2101,2149,31083,0,,,10396.7336001934
2101,2149,31084,0,,,11069.407976228
2101,2149,31085,0,,,14348.7465386659
2101,2149,31578,31568,,,40903.023870732
2101,2149,31578,31569,,,45108.0966624374
2101,2149,31578,31574,,,16171.011617475
2101,2149,31578,31578,,,80698.9707087709
2101,2149,31578,31608,,,24460.4916091938
2101,2149,31578,31611,,,80694.4177221532
2101,2149,31578,31618,,,47041.0705146101
2101,2149,31578,31620,,,57607.0773775817
2101,2149,31578,31622,,,316429.799632647
2101,2149,31578,31650,,,81875.2394580088
2101,2149,31578,31652,,,10252.2436903626
2101,2149,31578,31685,,,32194.130484035
2101,2149,31578,34777,,,624178.121729405
2101,2149,31578,0,,,76573.0799450212
2101,2149,31614,34777,,,35496.8910353826
2101,2149,31614,0,,,1489.90452851097
2101,2149,31617,34777,,,53669.4511906564
2101,2149,31617,0,,,22012.9948523469
2101,2149,31646,0,,,22944.2223149305
2101,2149,31650,31565,,,18284.8523787816
2101,2149,31650,31650,,,17011.0281660703
2101,2149,31650,31735,,,13110.1746228871
2101,2149,31650,34777,,,124575.900391125
2101,2149,31650,0,,,73353.1206866079
2101,2149,31652,31627,,,91546.0837813494
2101,2149,31652,31632,,,54804.963423996
2101,2149,31652,31633,,,12799.8583467348
2101,2149,31652,31635,,,12116.1504643697
2101,2149,31652,31649,,,31644.6688383112
2101,2149,31652,31650,,,40128.8621227126
2101,2149,31652,31729,,,10153.6330207429
2101,2149,31652,31733,,,9227.963038118
2101,2149,31652,34777,,,770080.576536749
2101,2149,31652,0,,,48185.4589823321
2101,2149,31678,34777,,,55854.3577971677
2101,2149,31678,0,,,10963.4676088173
2101,2149,31850,0,,,17344.4178277669
2101,2149,33850,0,,,18541.4536128555
2101,2162,2177,2195,,,3721293.63728023
